Age,Sex,Race,Marital status?,Education,Incomes,Employement,book you read last 12m?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,Last book you read,Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
66,Male,Refused,Divorced,College graduate,"$20,000 to under $30,000",Retired,97,Yes,No,Yes,Purchased the book,No,Yes
46,Male,Native American/American Indian,Married,High school graduate,"Less than $10,000",Employed full-time,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
32,Male,Mixed race,Never been married,High school graduate,"Less than $10,000",Employed full-time,97,No,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
27,Male,Mixed race,Married,High school graduate,"$40,000 to under $50,000",Employed full-time,97,Yes,No,Yes,Borrowed the book from a library,Yes,No
16,Female,Mixed race,Never been married,High school incomplete,"$10,000 to under $20,000",Employed part-time,97,Yes,Yes,No,Purchased the book,Yes,No
55,Female,Asian or Pacific Islander,Divorced,"Some college, no 4-year degree","$40,000 to under $50,000",Have own business/self-employed,97,Yes,Yes,Yes,Purchased the book,No,No
63,Male,Black or African-American,Widowed,"Some college, no 4-year degree","$50,000 to under $75,000",Employed full-time,97,Yes,No,No,Borrowed the book from a library,Yes,No
60,Female,Black or African-American,Married,College graduate,"$100,000 to under $150,000",Retired,97,Yes,No,No,Purchased the book,Yes,Yes
50,Female,Black or African-American,Married,Post-graduate training/professional school after college,"$75,000 to under $100,000",Employed part-time,97,Yes,No,Yes,Purchased the book,Yes,No
29,Female,Black or African-American,Never been married,High school graduate,"Less than $10,000",Employed part-time,97,Yes,No,Yes,Borrowed the book from a friend or family member,No,No
23,Male,Black or African-American,Never been married,High school graduate,"9$100,000 to under $150,000",Employed part-time,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
19,Female,Black or African-American,Never been married,"Some college, no 4-year degree","$50,000 to under $75,000",Employed part-time,97,Yes,No,No,Got the book some other way,Yes,Yes
16,Female,Black or African-American,Never been married,High school graduate,"$10,000 to under $20,000",Student,97,Yes,No,Yes,Borrowed the book from a library,No,Yes
89,Female,White,Widowed,"Some college, no 4-year degree","$30,000 to under $40,000",Retired,97,Yes,No,No,Purchased the book,Yes,Yes
88,Female,White,Widowed,"Some college, no 4-year degree","$10,000 to under $20,000",Retired,97,Yes,No,No,Borrowed the book from a library,Yes,No
84,Female,White,Widowed,"Some college, no 4-year degree","9$100,000 to under $150,000",Retired,97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
81,Female,White,Married,"Some college, no 4-year degree","$75,000 to under $100,000",Retired,97,Yes,No,No,Purchased the book,Yes,Yes
80,Female,White,Widowed,Post-graduate training/professional school after college,Refused,Retired,97,Yes,No,No,Purchased the book,Yes,Yes
79,Female,White,Widowed,High school graduate,"$20,000 to under $30,000",Other,97,Yes,No,No,Borrowed the book from a library,No,No
79,Male,White,Married,College graduate,"$50,000 to under $75,000",Retired,97,Yes,No,No,Borrowed the book from a library,Yes,No
78,Female,White,Divorced,High school graduate,"$10,000 to under $20,000",Not employed for pay,97,Yes,No,No,Borrowed the book from a library,No,No
78,Male,White,Married,College graduate,"$100,000 to under $150,000",Retired,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
78,Female,White,Widowed,"Technical, trade or vocational school AFTER high school","$10,000 to under $20,000",Retired,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
